Časová značka,Conversation ID:,Gender:,Age:,How familiar are you with robots? ,I got the information I was looking for. ,Pepper responded to my questions quickly. ,Pepper's  hand and arm gestures felt natural and fit what she was saying. ,What did you talk with Pepper about?,Was there any problem during the interaction?,What would you like Pepper to be able to help you with? ,Who would you prefer here at reception E?,Fake — Natural,Machinelike — Humanlike ,Unconscious — Conscious ,Artificial — Lifelike ,Moving rigidly — Moving elegantly,Dead — Alive ,Stagnant — Lively ,Mechanical — Organic ,Artificial — Lifelike ,Inert — Interactive ,Apathetic — Responsive ,Dislike — Like ,Unfriendly — Friendly ,Unkind — Kind ,Unpleasant — Pleasant ,Awful — Nice ,Incompetent — Competent ,Ignorant — Knowledgeable ,Irresponsible — Responsible ,Unintelligent — Intelligent ,Foolish — Sensible ,Anything else you'd like to share? 
15.5.2026 15:43:01,T30,Female,49,1,5,5,5,Navigate to some room,No problem,Navigovat,Human,4,3,3,3,4,4,4,3,3,3,5,5,5,5,5,5,4,5,4,4,3,My technical skills are not strong.I am not able to evaluate everything. Sorry :-) but I like it
18.5.2026 9:09:55,T01,Male,28,3,2,2,3,Navigate to some room,No problem,,Pepper,2,2,1,1,2,3,2,2,2,2,4,4,4,4,4,4,2,3,3,2,4,
18.5.2026 9:27:21,T08,Male,19,4,4,5,5,Navigate to some room,No problem,,Pepper,5,2,2,2,3,4,5,1,2,3,3,3,5,5,5,5,4,5,5,4,3,
18.5.2026 9:31:45,T07,Male,21,5,2,4,4,"Subject schedule, Navigate to some room","The transcription of what I said was incorrect, Did not understand ""ARI lecture""",,Pepper,4,2,3,2,4,3,4,4,3,4,4,4,5,5,5,5,3,3,3,4,4,"It's really nice, keep developing it"
18.5.2026 10:16:30,T14,Male,46,3,1,4,3,Navigate to some room,"The provided information was false, The transcription of what I said was incorrect",,Dotyková obrazkovka s plány pater a seznamem osob s tel. čísly ,3,1,2,2,3,3,3,3,3,3,3,2,4,4,4,4,2,3,2,2,3,
18.5.2026 10:51:05,T30,Female,20,2,3,4,4,Mensa menu,"Bylo to takove chvili zmatene, ale asi jsem blbe artikulovala ale na druhy pokus to bylo lepsi",,Pepper,3,3,3,3,3,4,3,2,2,4,3,4,4,4,4,4,3,4,4,4,3,
18.5.2026 11:01:50,T33,Male,20,4,5,5,3,Navigate to some room,The transcription of what I said was incorrect,,Pepper,4,3,3,4,4,4,4,3,3,4,5,5,5,5,5,5,4,5,5,5,4,Very interesting idea! On the first try robot lagged but after this she answered correctly. I think it might be worth doing something so that she doesn't react to conversations with people passing by (if that's possible :D)
18.5.2026 11:42:04,T33,Female,25,2,5,4,2,Subject schedule,No problem,Would be cool if it she could call the professor/someone I need to meet to say that I am here. ,Pepper,3,2,2,3,5,3,3,2,3,5,5,4,5,5,4,4,5,4,3,3,3,
18.5.2026 11:43:18,T34,Male,20,3,5,4,4,"Mensa menu, Navigate to some room",The transcription of what I said was incorrect,,Pepper,3,2,4,4,5,5,4,3,4,4,5,4,5,5,4,4,4,4,4,4,4,Mozna pridat obrazky jidla
18.5.2026 12:08:05,T38,Male,23,2,5,4,3,"Navigate to some room, Toilets",It was hard to see the transcription on the tablet,Events that are/will be happening on the Faculty,Pepper,1,2,2,2,3,4,4,2,2,1,3,5,5,5,5,5,3,4,3,3,3,
18.5.2026 12:08:15,T34,Male,22,5,4,3,2,"General conversation, Navigate to some room",She was picking up too much background chatter,Inform about irregular closures and room changes during events,Pepper,3,2,1,1,4,2,2,3,1,4,5,4,3,3,3,4,4,4,4,4,3,"Presence detection, detecting incoming/outgoing people and reacting with gestures or words would be nice addition."
18.5.2026 12:17:25,T40,Male,26,2,5,5,4,Mensa menu,He speleld alsi internal instructions,"Show menu, not spell int. Automatic cooldown when user dont finish conversation.",Pepper,2,2,3,3,4,3,3,4,2,2,3,5,5,5,4,4,3,5,3,2,3,"Kamo ten dotaznik je strasne dlouhe a na ty veci, jakej robot byl, Foolish - Sensible, tak nez se k tomu dostanu, tak uz ani nevim, protoze jsem se na tu danou vec behem konverzace nesoustredil. Dal bych ty fieldy nepovinne, protoze takhle ti tam neco zakliknout musim, i kdyz vlastne netusim a ma to stejnou vahu jako nazor nekoho, kdo se na to soustredil."
18.5.2026 14:26:30,T44,Male,29,5,5,4,2,"General conversation, Subject schedule, Navigate to some room","Pepper was slow to respond, It felt slightly slow to respond, but still within an acceptable time limit.",Tram schedules to/from Dejvice. Some way to figure out who to talk to if I have a specific problem. Information about different labs in KN.,Pepper,3,1,2,2,4,3,4,2,2,3,4,4,4,4,4,4,3,4,3,3,4,
18.5.2026 14:41:03,T45,Male,28,3,4,3,3,General conversation,The transcription of what I said was incorrect,answer some questions about map,Pepper,3,2,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,
18.5.2026 14:52:59,T45,Male,22,4,5,4,3,Navigate to some room,No problem,If iam making it to metro or tram.,Pepper,4,2,3,2,4,3,4,2,4,4,4,4,5,5,4,5,5,3,3,4,3,
18.5.2026 15:09:10,T47,Male,31,5,4,5,4,"General conversation, Contact information, Chinese food with Chinese language","No problem, The Czech name is not easy to be distinguished","Classroom, professor's office",Pepper,3,3,3,4,2,4,2,2,3,4,4,5,5,5,5,5,4,4,4,4,4,
18.5.2026 15:25:43,T47,Male,38,3,3,2,2,"Subject schedule, Mensa menu, Navigate to some room, Navigate to dejvice","Pepper was slow to respond, The provided information was false",Actaul courses at the campus,Pepper,2,1,5,2,2,3,3,1,1,1,2,4,4,5,4,5,2,2,3,2,5,
18.5.2026 15:28:51,T49,Male,26,4,3,5,3,"General conversation, Mensa menu, Navigate to some room",The provided information was false,,Human,3,3,2,2,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3,4,
18.5.2026 15:39:46,T49,Male,29,5,3,5,4,"General conversation, Subject schedule, Navigate to some room",No problem,,Pepper,4,3,4,4,3,3,4,2,4,4,4,5,5,5,5,5,3,4,5,4,3,
18.5.2026 16:26:49,T50,Male,21,4,2,4,2,"Subject schedule, Mensa menu",The transcription of what I said was incorrect,Opening hours of the building,Pepper,2,3,3,3,2,3,4,2,2,2,4,4,5,3,3,4,1,3,2,2,2,
18.5.2026 16:32:53,T52,Male,22,3,5,2,2,Navigate to some room,Pepper was slow to respond,Suggest me direction to the office,Pepper,4,4,4,4,3,4,4,3,4,4,5,5,4,4,4,5,4,5,5,5,5,
18.5.2026 17:16:23,T58,Male,42,4,3,4,3,"Contact information, Mensa menu","The provided information was false, It was hard to understand what was Pepper saying, The transcription of what I said was incorrect",,both ,3,1,1,1,1,1,1,1,1,4,3,3,5,5,3,3,2,3,3,2,3,
18.5.2026 17:23:30,T61,Male,22,5,4,5,2,Contact information,"spelling was a problem, pepper responded too quickly",,No one,1,1,1,1,1,1,1,2,2,2,5,3,4,3,3,5,2,2,3,4,2,
18.5.2026 17:28:32,T63,Male,43,5,4,4,4,Subject schedule,"Pepper was slow to respond, It was hard to understand what was Pepper saying",Find people by name,Human,3,2,3,4,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,4,3,
18.5.2026 17:35:44,T63,Male,32,5,1,4,2,Subject schedule,Bug - Pepper got stuck in schedule checking loop,Where to find rooms and people,Pepper,4,2,2,2,3,4,3,4,2,4,4,4,5,5,4,4,3,3,3,3,3,
18.5.2026 20:16:35,K01,Female,23,3,2,2,2,General conversation,Pepper did not respond at all,,Human,1,3,4,2,2,4,3,1,2,4,4,4,4,4,4,3,2,3,4,4,2,
